Account,Line Item,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,IsAccountRow,Scenario,Year
,Total Revenue,4353708.0,4483201.62,,4786855.12,4969654.95,5143368.4,5079251.19,4820665.47,4642530.390000001,5093124.63,5217465.13,,58742414.0,False,Actual,2022
,COST OF GOODS SOLD (COGS),,,,,,,,,,,,,,False,Actual,2022
,Total COGS,-1910419.71,-1963204.0,-2188781.28,-2105418.64,,-2257727.75,-2242469.08,-2137291.89,-2036354.0,-2277038.14,-2317996.0,-2288295.1,-25917599.89,False,Actual,2022
,Gross Profit,2443287.8,2519997.97,2752128.98,2681436.48,2777050.81,2885640.65,,2683373.58,2606176.0,2816086.49,2899468.84,2923384.5,32824814.0,False,Actual,2022
,OPERATING EXPENSES (OPEX),,,,,,,,,,,,,,False,Actual,2022
,Total Operating Expenses,-1517385.53,-1519845.45,-1551185.47,,-1568399.32,-1581467.0,-1599469.37,-1566588.0,,-1598112.54,-1606706.87,-1587843.29,-18787557.0,False,Actual,2022
,EBITDA,925902.2699999998,1000152.52,1200943.51,1138555.37,1208651.49,1304173.2,1237312.74,1116785.97,1058502.730000001,1217974.0,1292762.0,1335541.21,14037256.93,False,Actual,2022
,OTHER INCOME / (EXPENSE),,,,,,,,,,,,,,False,Actual,2022
,Total Other,-1133.21,-594.0,-953.3299999999995,-1703.46,,-1480.0,-1033.45,-1163.72,-1481.12,-1581.42,-959.0,-2289.150000000001,-15231.29,False,Actual,2022
,Net Income,924769.0,999558.5600000003,1199990.179999999,1136851.91,1207792.0,1302693.35,1236279.0,1115622.25,1057021.610000001,1216393.0,1291803.31,1333252.0,14022025.64,False,Actual,2022
