Account,Line Item,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,IsAccountRow,Scenario,Year
,Total Revenue,3984054.51,4179524.96,4405015.0,4229188.609999999,4349683.0,4594253.52,4514423.82,4402955.4,4180306.01,4593737.0,4688824.68,,52895900.68,False,Actual,2021
,COST OF GOODS SOLD (COGS),,,,,,,,,,,,,,False,Actual,2021
,Total COGS,-1685526.46,-1765845.83,-1854090.0,-1758688.0,-1835175.46,-1969241.37,-1900566.0,-1842896.19,-1750252.27,-1912954.94,-1969720.31,-2010197.24,-22255154.13,False,Actual,2021
,Gross Profit,2298528.05,2413679.13,2550924.9,2470500.439999999,2514507.11,2625012.149999999,2613858.260000001,,2430053.74,2680782.49,,2763736.7,30640746.55,False,Actual,2021
,OPERATING EXPENSES (OPEX),,,,,,,,,,,,,,False,Actual,2021
,Total Operating Expenses,-1368047.0,-1408383.81,-1409418.74,-1385568.98,-1393259.19,-1448463.41,,-1414418.0,-1413812.0,-1441589.73,-1417933.19,-1437857.05,-16970323.0,False,Actual,2021
,EBITDA,930480.9899999998,1005295.32,1141506.16,1084931.459999999,1121247.92,1176548.74,1182286.490000001,1145642.0,1016241.0,1239193.0,1301171.18,1325879.65,13670423.72,False,Actual,2021
,OTHER INCOME / (EXPENSE),,,,,,,,,,,,,,False,Actual,2021
,Total Other,-200.0799999999999,-240.9400000000001,-1400.8,-1303.86,-791.7799999999997,-732.6399999999999,-1616.36,-1086.0,-1908.97,-1946.44,-1527.389999999999,-1858.96,-14614.63,False,Actual,2021
,Net Income,930280.9099999998,1005054.38,1140105.0,1083627.599999999,1120456.14,,1180670.130000001,1144555.24,1014332.43,1237246.32,1299643.79,1324020.69,13655809.09,False,Actual,2021
