Account,Line Item,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,IsAccountRow,Scenario,Year
4001,  Core,1810555.8,1918735.51,1991313.63,1896151.72,1993606.58,2124750.0,2069890.27,2011881.62,1865932.01,2196782.56,2141494.0,2204279.46,24225373.65,True,Budget,2021
4002,  Pro,1387025.89,1450937.04,1568651.96,1494869.75,1445839.16,1618680.27,1501486.67,1575302.99,1425341.18,1500933.14,1663996.57,1606884.22,18239948.84,True,Budget,2021
4010,  Services,807251.43,801070.72,913979.81,898526.63,920906.0,934999.4099999999,972428.5,924587.0,937829.62,924881.69,950998.0,1001782.86,10989241.41,True,Budget,2021
,Total Revenue,4004833.0,4170743.27,4473945.0,4289548.0,4360351.43,4678429.96,4543805.439999999,4511771.24,4229102.81,4622597.0,4756489.2,,53454564.0,False,Budget,2021
,COST OF GOODS SOLD (COGS),,,,,,,,,,,,,,False,Budget,2021
5001,  Materials,-1047599.07,-1092080.43,-1172746.68,,-1129108.79,-1220949.6,-1179693.82,-1177860.51,-1096523.7,-1210521.82,-1242325.3,,-13942586.43,True,Budget,2021
5002,  Direct Labor,-475201.66,-490994.72,-525451.95,-505397.91,-510395.79,-552392.43,-534811.63,-533037.1,-497358.93,-547670.29,-561308.79,-568945.0,-6302965.77,True,Budget,2021
5003,  Freight & Logistics,-170183.6,-175041.53,-188320.47,-181512.66,-179541.18,-196684.87,-191647.9,-188097.0,-176717.8,-193718.29,-202450.72,-201566.24,-2245482.58,True,Budget,2021
,Total COGS,-1692984.33,-1758116.68,-1886519.1,,-1819045.76,,-1906153.35,-1898994.93,-1770600.0,-1951910.0,-2006084.81,-2016793.96,-22491034.78,False,Budget,2021
,Gross Profit,2311849.0,2412626.59,2587426.300000001,2475743.97,2541305.67,2708403.06,2637652.089999999,2612776.310000001,2458502.38,2670687.0,2750404.39,2796153.0,30963529.12,False,Budget,2021
,OPERATING EXPENSES (OPEX),,,,,,,,,,,,,,False,Budget,2021
6001,  Salaries & Wages,-871839.49,-868369.0,-884289.05,-865272.36,-875165.04,-866705.0,,-878040.45,-900224.65,-887755.0,-886547.26,-872863.64,-10528951.84,True,Budget,2021
6002,  Payroll Taxes,-122057.52,-121572.0,-123800.46,-121138.0,-122523.1,-121339.0,-122063.46,-122925.66,,-124285.62,-124116.62,-122201.0,-1474053.23,True,Budget,2021
6003,  Rent,-55316.34,-54940.0,-55374.65,-55288.37,-54891.59,-55243.71,-55239.98,-54981.68,-55009.59,-55002.16,-55057.87,,-661559.7799999999,True,Budget,2021
6004,  Marketing,-292888.41,-306264.86,-323656.03,-303409.04,-310376.0,-329767.15,-320169.97,,-301775.85,-341112.0,-340894.97,-351050.86,-3858932.4,True,Budget,2021
6005,  Software & Subscriptions,-27030.59,-27062.06,-26943.94,-27329.58,-27434.48,-27218.87,-27104.89,-27085.55,-27248.67,-26884.0,-27209.29,-27053.0,-325605.0,True,Budget,2021
6006,  Travel,-81045.45,-80023.0,-95739.98,-86880.36,-78576.70999999999,-94217.02,-88585.0,,-82139.69,-94165.0,-99660.0,-98703.5,-1068952.6,True,Budget,2021
,Total Operating Expenses,-1450178.0,-1458229.71,-1509804.11,-1459318.0,-1468967.17,-1494490.44,-1485045.1,-1509817.05,-1492430.0,-1529203.01,-1533486.39,-1527086.06,-17918055.0,False,Budget,2021
,EBITDA,861670.9899999993,954397.0,1077622.190000001,1016426.0,1072338.5,1213913.0,1152606.99,1102959.26,966072.48,1141483.98,1216918.0,1269066.52,13045474.54,False,Budget,2021
,OTHER INCOME / (EXPENSE),,,,,,,,,,,,,,False,Budget,2021
7001,  Interest Income,3328.15,3188.0,3466.57,,3155.66,2745.91,2946.83,3011.24,2973.86,3086.01,,2941.0,37189.85,True,Budget,2021
7002,  Interest Expense,-3595.48,-3925.6,-3646.76,-3731.31,-3856.33,-3708.79,-3755.58,-3910.66,-3512.6,-3797.32,-3539.79,-3744.71,-44724.93,True,Budget,2021
,Total Other,-267.0,-738.0,-180.1900000000005,-456.5500000000002,-700.6700000000001,-962.8800000000001,-808.75,-899.4199999999996,-538.7400000000007,-711.3099999999995,-468.27,-803.4000000000001,-7535.08,False,Budget,2021
,Net Income,861403.6599999993,953659.3099999999,1077442.000000001,1015969.58,1071638.0,1212949.74,1151798.24,1102059.840000001,965533.74,1140772.67,1216449.73,1268263.0,13037939.46,False,Budget,2021
