Account,Line Item,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,IsAccountRow,Scenario,Year
,Total Revenue,4004833.0,4170743.27,4473945.0,4289548.0,4360351.43,4678429.96,4543805.439999999,4511771.24,4229102.81,4622597.0,4756489.2,,53454564.0,False,Budget,2021
,COST OF GOODS SOLD (COGS),,,,,,,,,,,,,,False,Budget,2021
,Total COGS,-1692984.33,-1758116.68,-1886519.1,,-1819045.76,,-1906153.35,-1898994.93,-1770600.0,-1951910.0,-2006084.81,-2016793.96,-22491034.78,False,Budget,2021
,Gross Profit,2311849.0,2412626.59,2587426.300000001,2475743.97,2541305.67,2708403.06,2637652.089999999,2612776.310000001,2458502.38,2670687.0,2750404.39,2796153.0,30963529.12,False,Budget,2021
,OPERATING EXPENSES (OPEX),,,,,,,,,,,,,,False,Budget,2021
,Total Operating Expenses,-1450178.0,-1458229.71,-1509804.11,-1459318.0,-1468967.17,-1494490.44,-1485045.1,-1509817.05,-1492430.0,-1529203.01,-1533486.39,-1527086.06,-17918055.0,False,Budget,2021
,EBITDA,861670.9899999993,954397.0,1077622.190000001,1016426.0,1072338.5,1213913.0,1152606.99,1102959.26,966072.48,1141483.98,1216918.0,1269066.52,13045474.54,False,Budget,2021
,OTHER INCOME / (EXPENSE),,,,,,,,,,,,,,False,Budget,2021
,Total Other,-267.0,-738.0,-180.1900000000005,-456.5500000000002,-700.6700000000001,-962.8800000000001,-808.75,-899.4199999999996,-538.7400000000007,-711.3099999999995,-468.27,-803.4000000000001,-7535.08,False,Budget,2021
,Net Income,861403.6599999993,953659.3099999999,1077442.000000001,1015969.58,1071638.0,1212949.74,1151798.24,1102059.840000001,965533.74,1140772.67,1216449.73,1268263.0,13037939.46,False,Budget,2021
