Account,Line Item,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,IsAccountRow,Scenario,Year
,Total Revenue,5029083.21,5341757.0,5779342.39,5615699.689999999,5703684.94,5858614.0,6151565.560000001,5743872.0,5594568.119999999,5860211.03,5941652.41,6352559.59,68972610.0,False,Budget,2024
,COST OF GOODS SOLD (COGS),,,,,,,,,,,,,,False,Budget,2024
,Total COGS,-2117537.0,-2238131.62,-2432067.31,-2364813.46,-2393218.05,-2468862.0,-2597666.0,-2403888.44,-2337514.47,-2472265.51,-2508647.04,-2700078.05,,False,Budget,2024
,Gross Profit,2911545.79,3103625.65,3347275.08,3250886.23,3310466.89,3389751.699999999,3553899.100000001,3339983.73,3257053.649999999,3387945.52,3433005.37,3652481.54,39937920.25,False,Budget,2024
,OPERATING EXPENSES (OPEX),,,,,,,,,,,,,,False,Budget,2024
,Total Operating Expenses,-1758325.0,-1736127.72,-1808133.61,-1798833.14,-1803241.34,-1829391.04,-1834563.53,,-1773552.58,-1795612.45,-1833215.3,-1870495.04,-21625996.06,False,Budget,2024
,EBITDA,1153220.91,,1539141.47,1452053.09,1507225.55,1560361.0,1719335.570000001,1555478.3,1483501.069999999,1592333.070000001,1599790.07,1781986.5,18311924.19,False,Budget,2024
,OTHER INCOME / (EXPENSE),,,,,,,,,,,,,,False,Budget,2024
,Total Other,-1099.9,-1014.11,-674.3800000000001,-674.21,-989.0499999999997,-647.5,-1409.140000000001,-1371.0,-992.3200000000006,-1040.89,-1305.5,-779.0799999999999,-11996.75,False,Budget,2024
,Net Income,1152121.01,1366483.82,1538467.09,1451379.0,1506236.0,1559713.159999999,1717926.430000001,1554107.63,1482508.749999999,1591292.180000001,1598485.0,1781207.42,,False,Budget,2024
