Account,Line Item,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,IsAccountRow,Scenario,Year
,Total Revenue,4422726.79,4630893.0,5035540.64,4835685.9,5023600.18,5178022.66,5205856.029999999,4913685.31,4686980.0,5211925.97,5296995.39,5365307.0,,False,Budget,2022
,COST OF GOODS SOLD (COGS),,,,,,,,,,,,,,False,Budget,2022
,Total COGS,-1857160.76,-1957686.95,,-2027721.88,-2106969.58,-2189860.0,-2201834.41,-2082457.65,-1971054.43,-2197338.0,-2253439.36,-2247126.02,-25222813.45,False,Budget,2022
,Gross Profit,,,2905376.439999999,2807964.02,2916630.6,2988162.73,3004021.619999999,2831227.66,2715925.080000001,3014587.689999999,3043556.029999999,3118181.2,34584404.96,False,Budget,2022
,OPERATING EXPENSES (OPEX),,,,,,,,,,,,,,False,Budget,2022
,Total Operating Expenses,-1563395.93,-1595720.45,-1614248.9,,-1655590.53,-1651199.0,-1652717.53,-1647160.6,-1614115.0,-1654841.48,-1680010.07,-1648206.34,-19559201.7,False,Budget,2022
,EBITDA,1002170.1,1077485.409999999,1291127.539999999,1225968.0,1261040.0,1336964.0,1351304.089999999,1184067.0,1101810.080000001,1359746.209999999,1363545.959999999,1469974.86,15025203.26,False,Budget,2022
,OTHER INCOME / (EXPENSE),,,,,,,,,,,,,,False,Budget,2022
,Total Other,-983.27,-286.0,-599.9099999999999,-822.0,-724.4099999999999,-52.0,-852.1399999999999,-743.5,-1069.19,-917.5799999999999,-766.54,-993.9299999999998,-8810.14,False,Budget,2022
,Net Income,1001186.83,,1290527.629999999,1225146.0,1260315.66,1336912.06,1350452.0,1183324.0,1100740.890000001,1358829.0,1362779.419999999,1468980.93,15016393.12,False,Budget,2022
