Account,Line Item,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,IsAccountRow,Scenario,Year
,Total Revenue,4773205.239999999,,5317042.07,5221682.0,5330110.14,5482761.24,5358210.92,5126788.68,5017517.67,5339598.62,5409616.67,5541548.0,62708601.27999999,False,Actual,2023
,COST OF GOODS SOLD (COGS),,,,,,,,,,,,,,False,Actual,2023
,Total COGS,-2123377.9,-2138588.0,-2307315.6,-2308434.57,-2347139.0,-2427563.0,-2366702.66,-2263469.04,-2223719.0,-2372039.2,-2386418.49,-2430942.69,-27695709.53,False,Actual,2023
,Gross Profit,2649827.339999999,2651932.41,3009726.47,2913247.26,2982971.0,3055198.45,2991508.26,2863319.64,2793799.0,2967559.42,3023198.0,3110604.89,35012891.75,False,Actual,2023
,OPERATING EXPENSES (OPEX),,,,,,,,,,,,,,False,Actual,2023
,Total Operating Expenses,-1620008.51,-1625808.28,-1628643.64,-1627044.09,-1670259.0,-1659482.04,-1659681.23,-1630563.35,-1622550.37,-1662760.21,-1634303.2,-1704251.49,-19745355.00999999,False,Actual,2023
,EBITDA,1029818.829999999,1026124.13,1381082.830000001,1286203.17,1312712.19,,1331827.03,1232756.29,1171248.0,1304799.21,1388894.98,1406353.4,,False,Actual,2023
,OTHER INCOME / (EXPENSE),,,,,,,,,,,,,,False,Actual,2023
,Total Other,-732.8499999999999,-1054.88,-854.6300000000001,-1058.68,-1671.34,-1991.72,-933.7199999999998,-2014.429999999999,-1733.57,-1583.89,-828.2200000000003,-1849.68,-16307.61,False,Actual,2023
,Net Income,,1025069.25,1380228.0,1285144.49,1311040.85,1393724.69,1330893.31,1230741.86,1169514.7,1303215.320000001,1388066.76,1404503.72,15251229.0,False,Actual,2023
