Account,Line Item,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,IsAccountRow,Scenario,Year
,Total Revenue,4848352.83,,5415922.99,5316902.0,5382908.38,,5410035.02,5198251.29,5056741.0,5428308.440000001,5464164.359999999,5649856.620000001,63613510.63,False,Budget,2023
,COST OF GOODS SOLD (COGS),,,,,,,,,,,,,,False,Budget,2023
,Total COGS,-2060318.24,-2055900.99,-2286657.0,-2241632.55,-2262101.0,-2332514.71,-2279838.91,-2173941.94,-2130498.14,-2286655.47,-2317005.0,-2383031.54,-26810096.2,False,Budget,2023
,Gross Profit,2788034.59,2831882.199999999,3129266.0,3075269.590000001,3120807.13,3221769.36,3130196.11,3024309.35,2926243.160000001,3141652.970000002,3147158.899999999,3266825.080000001,36803414.0,False,Budget,2023
,OPERATING EXPENSES (OPEX),,,,,,,,,,,,,,False,Budget,2023
,Total Operating Expenses,-1660660.14,-1688024.0,-1723683.0,-1700275.17,,-1724124.0,-1714768.2,-1730533.75,-1712294.59,-1748802.27,-1715577.23,-1714005.54,-20553647.14,False,Budget,2023
,EBITDA,1127374.45,1143858.149999999,1405583.36,1374994.0,1399907.58,1497645.34,1415427.91,1293775.6,1213948.570000001,1392850.700000002,1431581.67,,16249767.29,False,Budget,2023
,OTHER INCOME / (EXPENSE),,,,,,,,,,,,,,False,Budget,2023
,Total Other,-933.96,-1020.099999999999,-1099.0,-940.3900000000003,-805.0999999999999,-909.3899999999994,-999.75,-1306.559999999999,-1276.24,-1063.0,-424.0,-1085.55,-11862.0,False,Budget,2023
,Net Income,1126440.49,1142838.049999999,1404484.82,1374054.03,1399102.48,,1414428.16,1292469.04,,1391788.110000001,1431157.67,1551733.990000001,16237905.0,False,Budget,2023
