Account,Line Item,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,IsAccountRow,Scenario,Year
4001,  Core,2092231.76,2129401.65,2478661.0,2359814.0,2380254.09,2523690.84,2436507.0,2221681.99,2166156.61,2437690.74,2322821.25,2517297.37,28066209.0,True,Actual,2023
4002,  Pro,1738919.32,1668092.0,1813703.02,1791595.18,1827087.33,1820655.51,1823818.81,,1814931.61,1826026.71,2021406.89,1919056.57,21844609.68,True,Actual,2023
4010,  Services,942054.16,993027.3699999999,1024678.0,1070272.23,1122768.72,1138414.89,1097884.94,1125789.56,,1075881.17,1065388.53,1105193.64,12797782.57,True,Actual,2023
,Total Revenue,4773205.239999999,,5317042.07,5221682.0,5330110.14,5482761.24,5358210.92,5126788.68,5017517.67,5339598.62,5409616.67,5541548.0,62708601.27999999,False,Actual,2023
,COST OF GOODS SOLD (COGS),,,,,,,,,,,,,,False,Actual,2023
5001,  Materials,-1334347.04,-1339957.94,-1448090.71,-1432959.63,,-1523136.3,-1482372.91,-1426290.88,-1398880.41,-1478994.73,-1496846.22,-1534176.34,-17363472.0,True,Actual,2023
5002,  Direct Labor,-567213.19,-576010.9,-629957.02,-622746.37,-628691.55,-653511.0,-631555.96,-594015.0,-597567.16,-637452.44,-643382.42,,-7429215.129999999,True,Actual,2023
5003,  Freight & Logistics,-221817.67,-222619.37,,-252728.57,-251028.42,-250915.76,-252774.0,-243163.0,-227271.46,-255592.03,-246189.85,-249654.16,-2903021.91,True,Actual,2023
,Total COGS,-2123377.9,-2138588.0,-2307315.6,-2308434.57,-2347139.0,-2427563.0,-2366702.66,-2263469.04,-2223719.0,-2372039.2,-2386418.49,-2430942.69,-27695709.53,False,Actual,2023
,Gross Profit,2649827.339999999,2651932.41,3009726.47,2913247.26,2982971.0,3055198.45,2991508.26,2863319.64,2793799.0,2967559.42,3023198.0,3110604.89,35012891.75,False,Actual,2023
,OPERATING EXPENSES (OPEX),,,,,,,,,,,,,,False,Actual,2023
6001,  Salaries & Wages,-971130.86,-987434.5,-981691.12,-980777.48,-982929.71,-964011.0,-981614.0700000001,-974651.0,-985777.0,-983583.05,-958979.3,-959585.8500000001,-11712165.0,True,Actual,2023
6002,  Payroll Taxes,-135958.33,-138240.83,-137436.77,-137308.84,-137610.16,-134961.49,-137425.97,-136451.11,-138008.83,-137702.0,-134257.1,-134342.02,-1639703.07,True,Actual,2023
6003,  Rent,-60285.81,-60579.79,-60027.2,-60539.65,-60799.93,-60519.94,-60794.47,-60959.82,-60314.67,-60785.0,-60408.24,-60608.87,-726623.75,True,Actual,2023
6004,  Marketing,-327640.01,-321175.43,-315157.0,-320797.02,-339422.83,-364370.0,-339481.0,-314516.84,-313109.21,-336131.73,-330802.98,-396502.63,-4019106.56,True,Actual,2023
6005,  Software & Subscriptions,-29805.31,-29825.53,-29675.03,-29397.0,-30031.92,-29537.52,-29701.51,-29107.18,-29979.81,-29658.43,-30518.0,-30166.94,-357404.21,True,Actual,2023
6006,  Travel,-95188.0,-88552.20000000001,-104657.0,-98224.18,-119464.05,-106082.0,-110664.29,-114877.67,-95360.45999999999,-114900.02,-119337.47,-123045.18,-1290352.79,True,Actual,2023
,Total Operating Expenses,-1620008.51,-1625808.28,-1628643.64,-1627044.09,-1670259.0,-1659482.04,-1659681.23,-1630563.35,-1622550.37,-1662760.21,-1634303.2,-1704251.49,-19745355.00999999,False,Actual,2023
,EBITDA,1029818.829999999,1026124.13,1381082.830000001,1286203.17,1312712.19,,1331827.03,1232756.29,1171248.0,1304799.21,1388894.98,1406353.4,,False,Actual,2023
,OTHER INCOME / (EXPENSE),,,,,,,,,,,,,,False,Actual,2023
7001,  Interest Income,,3466.07,3546.09,3037.13,2435.0,2392.73,3168.48,2525.68,2736.93,3086.45,3192.53,2441.32,35216.51,True,Actual,2023
7002,  Interest Expense,-3920.54,-4520.95,-4401.0,-4095.81,-4106.75,-4384.45,-4102.0,-4540.11,-4470.0,-4670.34,-4020.75,-4291.0,-51524.12,True,Actual,2023
,Total Other,-732.8499999999999,-1054.88,-854.6300000000001,-1058.68,-1671.34,-1991.72,-933.7199999999998,-2014.429999999999,-1733.57,-1583.89,-828.2200000000003,-1849.68,-16307.61,False,Actual,2023
,Net Income,,1025069.25,1380228.0,1285144.49,1311040.85,1393724.69,1330893.31,1230741.86,1169514.7,1303215.320000001,1388066.76,1404503.72,15251229.0,False,Actual,2023
