Account,Line Item,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,IsAccountRow,Scenario,Year
,Total Revenue,,,5666221.75,5536232.56,5554468.42,5812128.41,6026852.3,5671114.23,5525312.16,5750667.0,5939793.0,6268353.0,68011793.56999998,False,Actual,2024
,COST OF GOODS SOLD (COGS),,,,,,,,,,,,,,False,Actual,2024
,Total COGS,-2119020.0,-2206803.0,-2399970.07,-2299854.0,-2348467.2,-2442274.83,-2545623.83,-2366942.02,-2326362.96,-2422295.57,-2497370.77,-2613042.69,-28588026.51,False,Actual,2024
,Gross Profit,2891017.16,3043810.919999999,3266251.68,3236378.56,3206001.22,3369853.58,3481228.47,3304172.21,3198949.2,3328371.2,3442422.7,,39423767.05999999,False,Actual,2024
,OPERATING EXPENSES (OPEX),,,,,,,,,,,,,,False,Actual,2024
,Total Operating Expenses,-1670311.02,-1700068.8,-1731950.63,-1705961.43,-1717442.24,-1707067.24,-1749972.41,-1727875.9,-1721140.74,-1741896.4,-1755442.76,-1772620.86,-20701750.0,False,Actual,2024
,EBITDA,1220706.14,1343742.0,1534301.05,1530417.129999999,1488558.98,1662786.34,1731256.06,1576296.310000001,1477808.0,1586474.8,1686980.0,1882689.0,18722016.63,False,Actual,2024
,OTHER INCOME / (EXPENSE),,,,,,,,,,,,,,False,Actual,2024
,Total Other,-2146.01,-1756.73,-1671.740000000001,-1924.15,-1661.24,-1483.73,-2142.38,-1521.36,,,-2342.309999999999,-1945.31,-22759.88,False,Actual,2024
,Net Income,1218560.13,1341985.389999999,1532629.31,1528492.98,1486897.74,1661303.0,1729113.68,1574774.95,1475509.96,1584608.38,1684637.63,1880743.99,18699257.0,False,Actual,2024
